text;topics;sentiments;date;rating;source;id;author;title;product_category;sentiment
"Если бы можно было поставить минус одну звезду поставила бы минус 10!

История такова: за 2 дня до конца месяца января решили маме оформить карту с кэшбэком 35%, потом подумали узнали по телефону что в феврале акция будет такая же с немного другими условиями, побоялись что мы в неё не попадём и отменили встречу и с утра 30 числа на сайте приходит письмо на почту об отказе, начинает названивать представитель банка и уговаривать получить карту. Всё утро с ней общались клятвенно и торжественно пообещала, что если мы получим карту за 2 дня до конца месяца то мы ещё успеем попасть в предыдущую акцию и с 1 февраля мы благополучно можем подключить следующую акцию где если не снижаемый остаток будет 30.000 То будет начислено 1.000 Бонусов в месяц, если 50.000 То 3.000 Бонусов, если 100.000 То 5.000. Бонусы будут 100%. Нигде на сайте этих условий ещё не было и консультант нас уверила что они получили их только что, что она нам зачитывает их, прямо убедила нас, если не консультантам то кому ещё верить?! По итогу деньги положили на не снижаемый остаток, акцию эту не могла подключить два дня (после окончания месяца), баннер не появлялся ни в предложении Ни на официальном сайте если заходить, в понедельник он всё-таки отобразился, подключаю данную акцию и вуаля карта должна быть оформлена с первого февраля! Что за. Начинаю писать в чате, в вк — везде отписка — карта должна быть оформлена с 1 февраля иначе в акции вы не учавствуете! Сказать что мы в шок ничего не сказать!

Абсолютно некомпетентные консультанты я бы даже сказала м\*\*\*\*\*им лишь бы впарить вам карту, и дальнейшее нежелание никак решить твою ситуацию. На всё либо стандартные ответы либо у вас должна быть карта оформлена 1 февраля иначе вы получите только 1.000 Бонусов с не снижаемым остатком в 30.000 Руб, а если учесть что один бонус равняется 0,8 руб то смысла заморачиваться ради 800 руб вообще не вижу. М\*\*\*\*\*\*\*в самом ярком представлении, не советую никому связываться с этими банком, вашу проблему решать никто не будет! Удивляюсь как ещё их Центробанк и прокуратура не проверяла, видать для этого и нужны доставщики карт, чтобы не под камеру всё было и слово к дело не пришьёшь. Хотя в нашем случае переговоры велись всё утро и если бы у банка была заинтересована они бы нашли записи и проверили и могли бы повернуться к клиенту лицом, но увы. Они предпочли противоположным местом!

В другом банке (не буду говорить каком, что б за рекламу не сочли), была похожая ситуация, так все выяснили, сотруднику сделали выговор, нам все восстановили, даже начислили бонусом в качестве извинений, хотя акция вообще была уже закончена, но не в этом банке, тут разбираться и как-то решать ситуацию в пользу клиента, видать, не принято!

Кстати, еще! — Просят на писать хороший отзыв на сайте и обещают шикарные подарки через пару дней (видать что бы хоть как-то поднять рейтинг), я написала от своего имени, и что бы вы думали — НИЧЕГО! . Что и следовало ожидать — ни звонка, ни подарка соответственно! Делайте выводы сами!";;;06.02.2025;1;sravni.ru;10022;Пользователь None;Никто ничего не будет решать/разбираться, не банк, а недоразумение!;Повседневные финансы и платежи - Дебетовые карты;positive
"С октября по январь я участвовал в акции Газпромбанка «кэшбэк 35% на всё самое важное».

За декабрь банк начислил неполный кэшбэк 3520 бонусов. По результату моего обращения №-2216287 мне сообщили, что «в начислении баллов учтены все операции кроме оплаты через „Яндекс заправки“, которая не соответствуют акции». Но операция через Яндекс заправки была лишь одна на сумму ₽213,6. А это лишь 75 бонусов. Куда делись оставшиеся 5000 — 3520 — 75 = 1405 бонусов?

И даже без учёта этой покупки мои расходы в декабре были на сумму ₽14938,15 — 213,6 = 14724,55. А значит мой кэшбэк составляет 14724,55 × 0,35 = 5154 бонуса. То есть я должен был получить максимальные 5000 бонусов по этой акции.

На моё желание получить детализацию начисления кэшбэка, я получил отказ — в контактном центре это не предусмотрено.

Сам чат поддержки в приложении работает со сбоями, периодически появляются ошибки при загрузке истории переписки. Выйти на живого оператора сложно. Постоянно появляется сообщение, что все заняты. И даже «напишите нам позже». То есть нужно свой вопрос заново написать в чате через какое-то время.

Такой неудобной и неклиенториентированной поддержки я не встречал ещё ни в одном другом банке";;;05.02.2025;1;sravni.ru;10023;Николай Ширяев;Неполный кэшбэк по акции;Повседневные финансы и платежи - Дебетовые карты;neutral
В 2023 году перед уходом в декретный отпуск мне потребовалось оформить карту Мир для получения пособия по уходу за ребёнком. Заказала карту Мир на сайте Газпромбанка, через какое-то время получила смс-уведомление, что карта готова, и приехала забрать её по указанному в сообщении адресу банка. Выяснилось, что карта не готова, видимо в системе произошёл сбой, как мне пояснили сотрудники банка. При этом предложили мне оформить премиальную карту Мир Газпромбанка с улучшенными условиями обслуживания, уверяя, что для меня это полностью бесплатно, карту мне выдали сразу. Более года я получала на неё ежемесячное пособие и плата за обслуживание действительно не списывалась. Затем в какой-то момент я решила проверить свои расходы и обнаружила, что с сентября 2024 года у меня начали списывать по 2900р/мес за обслуживание карты, хотя никакими привилегиями я не пользовалась, да они мне были и не нужны, мне н\*\*\*\*\* эту карту в качестве «извинения» за сбой при оформлении простой карты Мир, за которой я изначально приехала по смс-приглашению банка. Никаких звонков и писем по изменению условий обслуживания карты я не получала. На мою просьбу вернуть средства мне было отказано. Вот так Газпромбанк у\*\*\*\*у меня и моих детей 8700р (за 3 месяца) из пособия по уходу за ребёнком. Никогда ранее не сталкивалась с подобными ситуациями в других банках.;;;04.02.2025;1;sravni.ru;10024;Пользователь None;Как Газпромбанк с*****пособие по уходу за ребенком;Повседневные финансы и платежи - Дебетовые карты;positive
Пришло смс о положительном решении по заявке на возврат в график платежей по ипотеке. Позвонил сотрудник и сказал что необходимо подписать с банком дополнительное соглашение. В Костроме. Я проживаю и подписывала договор в Вологде. Это как? В 300-х километрах от моего места жительства и офиса, в котором обслуживаешься. Это ли не ущемление прав заемщика и создание препятствий для возможности клиенту в трудной жизненной ситуации по цивильному урегулированию задолженности. А почему сотрудники огромного офиса в Вологде не могут исполнять свои обязанности и подписать такое соглашение? Прошу принять меры к устранению таких заградительных мер;;;03.02.2025;1;sravni.ru;10025;Антон Писарев;Жалоба на Газпромбанк;Повседневные финансы и платежи - Мобильный банк;positive
Отвратительное обслуживание банка, я открыла карту юнион пэй. Через месяц их отключили от юнион пэй и карта стала за границей не рабочая. Ну ествественно на жалобу в банке ответила, что деньги не вернут т. К она работает на территории России. А зачем мне карта union pay за 5000 тыс по территории России? Про кэшбек я вообще молчу. Думаю верну потрачу по 10 тыс как указано, ну конечно условия якобы не выполнены 4 мес прошло, мы вам ничего не вернем. Мало того что сервис банка просто открытительный так и просто сплошной о\*\*\*\*. Никогда я больше в этом банке я ничего не открою. Хотела вклад там открыть. Ни За что!;;;03.02.2025;1;sravni.ru;10026;Пользователь None;Газпромбанк о***** карта юнион пэй;Сбережения и накопления;neutral
"Открыл дебетовую карту, решил открыть накопительный счёт, условия привлекательные, Но, консультанты банка в личном кабинете видят открытый накопительный счёт, а в моем приложении он не отражается, перевести деньги на счёт я не могу, потому что в приложении счета нет, консультанты при обращении предлагают либо попробовать переоформить открытие счета через час, якобы система имеет задержку и должна обновиться, Но не через час, не через два, не через три, система моего открытого счета не видит, хотя консультанты банка в системе его видят, в итоге создали заявку на проверку информации по счету.

Внимание, сегодня 01.02.25, Ответ банка до 22.02.25, Тоесть, они будут проверять открыт счёт или нет 22 дня.

Браво, Газпромбанк.";;;01.02.2025;1;sravni.ru;10027;Пользователь None;Накопительный счет;Сбережения и накопления;positive
Опыт отключения услуги «Привилении» не увенчался успехом уже несколько дней подряд, попытка сделать это через приложение «гиблый номер», бот начинает закидывать сообщениями, и смс — ками. Через интернет страницу отключаешь, на следующий день все подключено, все на месте. Дозвониться до оператора «Время ожидания более 30 минут». Странный сервис, впервые с таким сталкиваюсь.;;;01.02.2025;1;sravni.ru;10028;Пользователь None;Приляпали услугу «Привилегии», два дня отключаю, на следующий день все опять подключено.;Повседневные финансы и платежи - Мобильный банк;neutral
"Хотел бы предупредить будущих клиентов и тех, кто является уже клиентом банка «Газпромбанк» не рискуете и не открывайте накопительный счёт на ежедневный остаток, т к получите большие неприятности в любой момент, такие как, блокировка карты с невозможностью вывести свои денежные средства без комиссии и кучу потраченного времени и нервов.

В ноябре 2024 года, я стал клиентом банка к сожалению, причём карта была заказана курьером, но с отсутствием бензина в его автомобиле пришлось договариваться и ехать в офис банка получать карту в коридоре офиса, но это только начало.

Далее, я открыл накопительный счёт на ежедневный процент, чтобы пользоваться своими денежными средствами в любое время и в конце второго месяца за 3 дня выплаты процентов, мне просто блокируют карту банка не сообщая ни о чём (я, случайно увидел, когда зашёл в МП банка), далее интереснее. Поехал в офис банка по адресу: город Смоленск, ул. Коненкова д 2/12, а он у нас один, простоял в очереди два часа, мне специалист пояснил, что карту заблокировали по статье 115 ФЗ и необходимо предоставить доказательства от куда получена сумма, я собрал все документы и снова приехал в единственный офис банка 31 января 2025 года, но в офисе не было света и операторы просто сидели болтали) Далее, я приехал на следующий день и взял талон в кассу, чтобы мне выдали мои денежные средства наличными, т к в программе и в МП банка нет блокировки на накопительный счёт, НО в кассе мне сказали, что нет возможности, т к видимо карту оформляли в другом регионе, это ужас просто (оформлял на диванчике офиса, писал выше), ждал ещё около трёх часов оператора в зале, чтобы приняли у меня заявление — претензию, все документы (справка НДФЛ и выписки из других банков от куда у меня эти деньги). В итоге оператор сказал, что карту не разблокируют, т к сам банк не заинтересован в этом и сумму вернут на другой счет (в другом банке) с комиссией 1,5, %, а это достаточно много на мой взгляд, т к мои же денежные средства ещё хотят вернуть с комиссией) Как в дальнейшем оказалось, что в МП и в компьютере оператора отображалось, что счёт не в блоке, НО когда она посмотрела в другом приложении, то сказала в блоке всё, это вводит в заблуждение клиента и самого специалиста. На сегодняшний день решение проблемы нет, банк не хочет снять ограничения по карте, чтобы я без комиссии снял свои денежные средства, я теряю время и по всей видимости потеряю свои же деньги за перевод.

Получается, чтобы не платить процент, банк просто «хи\*\*\*\*\*\*» и под 115 фз блокирует, тем самым оставляя клиентов без процентов или же вообще, если блок до выплаты процентов просто наживается за перевод) Мышеловка одним словом.

Прошу банк по ст 849 ГК Рф выплатить в полном объёме сумму процентов и так же выплатить незамедлительно полностью всю сумму после моего предъявления требований возврата сегодня 01.02.2024 Без какой-либо комиссии.";;;01.02.2025;1;sravni.ru;10029;Алексей Маликов;Банк не для людей.;Повседневные финансы и платежи - Ведение валютных счетов;positive
По акции Приведи друга была отправлена ссылка сыну 01.12.2024Г. Сын получил карту все условия нами были выполнены в декабре, по итогу сын кое-как добился чтобы ему выплатили вознаграждение 500 руб, а мне так и невыплотили вознаграждение. Служба поддержки у банка вообще плохо работает одни отписки вы не выполнили условия акции, я точно знаю что все условия выполнены, да и сыну выплачено вознаграждение. Вобщем вывод в этом банке пытаются о\*\*\*\*\*\* людей;;;30.01.2025;1;sravni.ru;10030;Пользователь None;Акция Приведи друга;Другое;negative
12.11.24 Оформила дебетовую карту по акции. Суть акции заключалась в том, что необходимо было совершить любую покупку от 10 рублей и за это обещали начислить 1000 бонусов от банка и подарить сертификат озон на 1000 рублей. Прошло 2,5 месяца, но обещанных подарков так и нет. Обращалась в поддержку, сначала сказали уточнить телефон контрагента самостоятельно и выяснить почему нет сертификата. Я спросила про бонусы от банка, мне в ответ предложили оформить вклад и закрыли диалог 😳. До оператора сложно достучаться, бот не помогает. Какое-то сплошное разочарование 😕;;;28.01.2025;1;sravni.ru;10031;Ольга Курова;О****. 1000 Бонусов от банка и сертификат озон на 1000 рублей.;Сбережения и накопления;negative
"За картой пришлось ехать, тратя 3 часа на дорогу, хотя все нормальные банки доставляют карту на дом, хотя и этого не нужно, т. К. Пользуюсь для оплаты телефоном и не ношу карты.

Получил СМС, что карта готова — приезжайте.

Приехав в офис узнал, что «программа» не работает и карту выдать не могут. Погулял 1,5 часа, «программа» так и не заработала.

Говорю, ну теперь только через 2 дня смогу приехать, куда звонить, чтобы такое не повторилось? Мне сказали, давайте номер телефона, мы сами позвоним.

Так мне никто и не позвонил. Ок, звоню в «контактный центр», пытаюсь узнать стоит ли ехать. Мне говорят, а у нас нет связи с офисами и мы не знаем работает ли программа. Узнать можно только приехав в офис, переводили меня на других людей, но ответ один: связи с офисом нет. Вот такой банк. Послал их подальше.";;;24.01.2025;1;sravni.ru;10032;Марат Рахматуллин;Банк без головы;Повседневные финансы и платежи - Мобильный банк;negative
Получил предложение на оформление дебетовой карты Газпромбанка, прошёл все процедуры для её выпуска. Карту выпустили, назначили встречу в 200 км. От места моего проживания 26 декабря 2024 года. Специально приехал и уже по приезду получил смс о невозможности со стороны банка вручить карту. 29 Декабря позвонили с вопросом назначения даты новой встречи. Ответил, что не готов её назвать. Пришло смс с предложением выбрать дату на сайте. По возвращению к этому вопросу вновь, на сайте вообще ни одна из дат не подгрузилась. Позвонил в офис банка, в разговоре выяснилось, что вообще нет возможности доставки карты даже уже в том городе, где назначили изначально. Спросил, где можно её получить, выяснилось в г. Санкт-петербург (500 км. От мкня). Вопрос: Зачем Вы предлагаете оформить карту, если фактически отсутствует возможность её получения? Беспрецедентно незаинтересованное общение со стороны сотрудников банка! (Банк приносит извинения за предоставленные неудобства) Нет желания даже возвращаться к этому вопросу! Есть множество других, более достойных банков!;;;21.01.2025;1;sravni.ru;10033;Сергей Верзилов;Дебетовая карта;Повседневные финансы и платежи - Мобильный банк;positive
